521948045597229057,celebritwall,"Batman The Dark Knight Rises Adult Batman Costume - HALLOWEEN ",14 oct. 2014,the dark knight,-1
521947545174835200,MHCAMPY,"Hallowe'en - Heath Ledger 'The Dark Knight' Green Diamond Braces In Stock  ",14 oct. 2014,the dark knight,-1
521947040407097344,paulp1988,"Even Michael Caine was pretty wellspoken in the Dark Knight films  and he is epitome of cockney lol",14 oct. 2014,the dark knight,-1
521946933867212800,EgamerNow,"Another Upload Triggered On Egamer! Have a look! The Dark Knight Rises - Find The Numbers   Gamescon",14 oct. 2014,the dark knight,-1
521946924522684417,amz_twtr_05,"       :12 Great action figure!.Luv it! the det... ",14 oct. 2014,the dark knight,-1
521946891592810496,Gaalyy__,"RT : Directors Cut of the Dark Knight ",14 oct. 2014,the dark knight,-1
521946751989997568,AdParker23," Mate get The Dark Knight Rises soundtrack on. Unreal stuff from Hans Zimmer",14 oct. 2014,the dark knight,-1
521946659358380032,NikonPunch,"Finally killed the Fume Knight in Dark Souls 2. Two more DLC's to go before we consider NG+",14 oct. 2014,the dark knight,-1
521946583542530048,GhostFacinKilla,"RT : DIRECTORS CUT OF THE DARK KNIGHT ",14 oct. 2014,the dark knight,-1
521945034560897024,mathiashauk,"RT : The politics of WINTER SOLDIER are basically a fuck you to the politics of THE DARK KNIGHT.",14 oct. 2014,the dark knight,-1
521944885163606017,ShiraOnTwit,"RT : This evening I am the Dark Knight roaming these mean streets alone; a windbreaker for my cape and a stern expression f…",14 oct. 2014,the dark knight,-1
521944777764638720,WinchestersC,"Batman Begins & The Dark Knight limited edition 4 disc Blu-ray bundle starting from just R1 - ",14 oct. 2014,the dark knight,-1
521944667748057089,sweeeetlikekey_,"RT : Directors Cut of the Dark Knight ",14 oct. 2014,the dark knight,-1
521943664135000064,Batboy3433,"RT : Directors Cut of the Dark Knight ",14 oct. 2014,the dark knight,-1
521943186919682048,UBetterHalf16,"RT : ? Dark Knight ? Lord of the Rings ? Star Wars",14 oct. 2014,the dark knight,-1
